Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Day_Name,Month,Year,Prev_Close,Pct_Change,Sign,Close_Trend
2020-06-18,9863.25,10111.2,9845.05,10091.65,622895963,28594.32,Thursday,June,2020,9881.15,2.1303188394063444,+,+ 2.13%
2020-06-19,10119.0,10272.4,10072.65,10244.4,892096343,48103.56,Friday,June,2020,10091.65,1.513627603018337,+,+ 1.51%
2020-06-22,10318.75,10393.65,10277.6,10311.2,685385093,35529.8,Monday,June,2020,10244.4,0.6520635664363076,+,+ 0.65%
2020-06-23,10347.95,10484.7,10301.75,10471.0,669195109,34148.13,Tuesday,June,2020,10311.2,1.5497711226627287,+,+ 1.55%
2020-06-24,10529.25,10553.15,10281.95,10305.3,854799801,41394.45,Wednesday,June,2020,10471.0,-1.5824658580842397,-,- 1.58%
2020-06-25,10235.55,10361.8,10194.5,10288.9,994190886,41726.07,Thursday,June,2020,10305.3,-0.15914141267114626,-,- 0.16%
2020-06-26,10378.9,10409.85,10311.25,10383.0,671910159,31841.68,Friday,June,2020,10288.9,0.9145778460282475,+,+ 0.91%
2020-06-29,10311.95,10337.95,10223.6,10312.4,574544482,27019.46,Monday,June,2020,10383.0,-0.6799576230376612,-,- 0.68%
2020-06-30,10382.6,10401.05,10267.35,10302.1,556238560,27342.55,Tuesday,June,2020,10312.4,-0.09987975640975207,-,- 0.10%
2020-07-01,10323.8,10447.05,10299.6,10430.05,573550127,28736.28,Wednesday,July,2020,10302.1,1.241979790528134,+,+ 1.24%
2020-07-02,10493.05,10598.2,10485.55,10551.7,597423931,31235.17,Thursday,July,2020,10430.05,1.166341484460779,+,+ 1.17%
2020-07-03,10614.95,10631.3,10562.65,10607.35,525190704,25186.39,Friday,July,2020,10551.7,0.5274031672621439,+,+ 0.53%
2020-07-06,10723.85,10811.4,10695.1,10763.65,571212914,29857.54,Monday,July,2020,10607.35,1.4735065779860124,+,+ 1.47%
2020-07-07,10802.85,10813.8,10689.7,10799.65,636764929,36502.37,Tuesday,July,2020,10763.65,0.33445903573601893,+,+ 0.33%
2020-07-08,10818.65,10847.85,10676.55,10705.75,767941333,37676.34,Wednesday,July,2020,10799.65,-0.8694726217979253,-,- 0.87%
2020-07-09,10755.55,10836.85,10733.0,10813.45,618652409,31315.87,Thursday,July,2020,10705.75,1.0060014478201036,+,+ 1.01%
2020-07-10,10764.1,10819.4,10713.0,10768.05,590705425,31557.58,Friday,July,2020,10813.45,-0.4198475047279217,-,- 0.42%
2020-07-13,10851.85,10894.05,10756.05,10802.7,554050579,30606.3,Monday,July,2020,10768.05,0.3217852814576591,+,+ 0.32%
2020-07-14,10750.85,10755.65,10562.9,10607.35,532368699,30902.47,Tuesday,July,2020,10802.7,-1.8083442102437386,-,- 1.81%
2020-07-15,10701.0,10827.45,10577.75,10618.2,715901258,42376.03,Wednesday,July,2020,10607.35,0.10228756475463112,+,+ 0.10%
2020-07-16,10706.2,10755.3,10595.2,10739.95,694402635,41453.95,Thursday,July,2020,10618.2,1.1466161873010492,+,+ 1.15%
2020-07-17,10752.0,10933.45,10749.65,10901.7,676881092,35592.83,Friday,July,2020,10739.95,1.5060591529755722,+,+ 1.51%
2020-07-20,10999.45,11037.9,10953.0,11022.2,554306867,32738.64,Monday,July,2020,10901.7,1.105332195896053,+,+ 1.11%
